区分コード,担当者名,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
L,大澤,19B-111NB,1.0,1,PL-19B-111NB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,162-307KA,1.0,1,PA-162-307KA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KUT-206NA,1.0,1,AO-KUT-206NA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,1331-12A01BA38,1.0,1,PA-1331-12A01BA38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,1331-105-9CW38,1.0,1,PA-1331-105-9CW38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KUT-206MA,1.0,1,AO-KUT-206MA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002PA,1.0,1,AO-KF22-002PA,1.0,1.0,MC-KF22-002PA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002CA,1.0,1,AO-KF22-002CA,1.0,1.0,MC-KF22-002CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002HA,1.0,1,AO-KF22-002HA,1.0,1.0,MC-KF22-002CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002AA,1.0,1,AO-KF22-002AA,1.0,1.0,MC-KF22-002AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KD65-00901AA,1.0,1,HT-KD65-00901AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,GR-KF30-00904AA,1.0,1,HT-KF30-00904AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KUT-206SA,1.0,1,AO-KUT-206SA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,DC-757UVB,1.0,1,AO-DC-757UVB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KUT-206PA,1.0,1,AO-KUT-206PA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KUT-206PB,1.0,1,AO-KUT-206PB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002BA,1.0,1,AO-KF22-002BA,1.0,1.0,MC-KF22-002BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,柴田,G-5108BB,1.0,1,G-5108BB-1,1.0,1.0,G-5108BB-2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,柴田,K-19705,1.0,1,PL-K-19705,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,柴田,105-303BA08038,1.0,1,SL-105-303BA08038,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,柴田,K-25906BB,1.0,1,PL-K-25906BB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Q,柴田,G-5112AJ,1.0,1,SL-G-5112AJ,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
R,藤田,3501-61051AA30,1.0,1,PA-3501-61051AA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
R,藤田,3501-61051BA30,1.0,1,PA-3501-61051BA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
S,藤田,K-18802E,1.0,1,PL-K-18802E,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
S,藤田,90-305,1.0,1,PL-90-305,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
U,宮木,720-605B,1.0,1,HT-720-605B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
U,宮木,700-579B,1.0,1,NC-700-579B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
U,宮木,960-578BA,1.0,1,NC-960-578BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,100-609GA,1.0,1,PA-100-609GA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,00-757GA,1.0,1,PA-00-757GA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,358-503,1.0,1,PA-358-503,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,130-422AA22,1.0,1,HT-130-422AA22,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,150-437B,1.0,1,PA-150-437B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,603-609B,1.0,1,PA-603-609B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,KD63-00407AB,1.0,1,PL-KD63-00407AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,KD63-00407AA,1.0,1,PL-KD63-00407AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,K-5305,1.0,1,MC-K-5305,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,K-5302B,1.0,1,MC-K-5302B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,DC-5808BA,1.0,1,PA-DC-5808BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,DC-5812BA,1.0,1,PA-DC-5812BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,G-9501AC,1.0,1,PA-G-9501AC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,K-15607D,1.0,1,PA-K-15607D,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,110-469,1.0,1,L2-110-469,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
W,栗山,00-757D,1.0,1,PA-00-757D,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
